county_name,county_fips,fiscal_year,delivery_system,eligible_adult_female_medi_cal_beneficiaries,adult_female_beneficiaries_with_1plus_mental_health_service,mental_health_service_penetration_percent,value_status,source_mhs1_annotation
Alameda County,06001,2019/20,NSMHS,172992,17213,9.95,reported,""
Alameda County,06001,2019/20,SMHS,171502,4973,2.90,reported,""
Alameda County,06001,2020/21,NSMHS,174210,17841,10.24,reported,""
Alameda County,06001,2020/21,SMHS,171810,4860,2.83,reported,""
Alameda County,06001,2021/22,NSMHS,186231,18273,9.81,reported,""
Alameda County,06001,2021/22,SMHS,183803,5049,2.75,reported,""
Alameda County,06001,2022/23,NSMHS,202257,19322,9.55,reported,""
Alameda County,06001,2022/23,SMHS,198588,5134,2.59,reported,""
Alpine County,06003,2019/20,NSMHS,121,"",,suppressed_or_unavailable,1
Alpine County,06003,2019/20,SMHS,121,"",,suppressed_or_unavailable,2
Alpine County,06003,2020/21,NSMHS,131,"",,suppressed_or_unavailable,1
Alpine County,06003,2020/21,SMHS,123,"",,suppressed_or_unavailable,2
Alpine County,06003,2021/22,NSMHS,146,"",,suppressed_or_unavailable,1
Alpine County,06003,2021/22,SMHS,135,"",,suppressed_or_unavailable,2
Alpine County,06003,2022/23,NSMHS,149,"",,suppressed_or_unavailable,1
Alpine County,06003,2022/23,SMHS,130,"",,suppressed_or_unavailable,1
Amador County,06005,2019/20,NSMHS,3149,424,13.46,reported,""
Amador County,06005,2019/20,SMHS,3139,328,10.45,reported,""
Amador County,06005,2020/21,NSMHS,3364,458,13.61,reported,""
Amador County,06005,2020/21,SMHS,3344,319,9.54,reported,""
Amador County,06005,2021/22,NSMHS,3602,485,13.46,reported,""
Amador County,06005,2021/22,SMHS,3588,374,10.42,reported,""
Amador County,06005,2022/23,NSMHS,3849,551,14.32,reported,""
Amador County,06005,2022/23,SMHS,3830,382,9.97,reported,""
Butte County,06007,2019/20,NSMHS,29302,5282,18.03,reported,""
Butte County,06007,2019/20,SMHS,29162,1916,6.57,reported,""
Butte County,06007,2020/21,NSMHS,29121,5971,20.50,reported,""
Butte County,06007,2020/21,SMHS,28997,1829,6.31,reported,""
Butte County,06007,2021/22,NSMHS,30576,5904,19.31,reported,""
Butte County,06007,2021/22,SMHS,30442,1615,5.31,reported,""
Butte County,06007,2022/23,NSMHS,32412,5965,18.40,reported,""
Butte County,06007,2022/23,SMHS,32253,1615,5.01,reported,""
Calaveras County,06009,2019/20,NSMHS,4757,714,15.01,reported,""
Calaveras County,06009,2019/20,SMHS,4750,290,6.11,reported,""
Calaveras County,06009,2020/21,NSMHS,4826,799,16.56,reported,""
Calaveras County,06009,2020/21,SMHS,4804,307,6.39,reported,""
Calaveras County,06009,2021/22,NSMHS,5149,836,16.24,reported,""
Calaveras County,06009,2021/22,SMHS,5113,315,6.16,reported,""
Calaveras County,06009,2022/23,NSMHS,5503,842,15.30,reported,""
Calaveras County,06009,2022/23,SMHS,5479,383,6.99,reported,""
Colusa County,06011,2019/20,NSMHS,3207,276,8.61,reported,""
Colusa County,06011,2019/20,SMHS,3186,213,6.69,reported,""
Colusa County,06011,2020/21,NSMHS,3398,340,10.01,reported,""
Colusa County,06011,2020/21,SMHS,3373,227,6.73,reported,""
Colusa County,06011,2021/22,NSMHS,3635,383,10.54,reported,""
Colusa County,06011,2021/22,SMHS,3609,228,6.32,reported,""
Colusa County,06011,2022/23,NSMHS,3909,669,17.11,reported,""
Colusa County,06011,2022/23,SMHS,3878,221,5.70,reported,""
Contra Costa County,06013,2019/20,NSMHS,106004,9738,9.19,reported,""
Contra Costa County,06013,2019/20,SMHS,105068,5009,4.77,reported,""
